iter	Passed	Remaining
0	160	159895
1	162	81198
2	164	54697
3	166	41385
4	168	33445
5	169	28103
6	171	24293
7	172	21445
8	174	19228
9	176	17472
10	177	16002
11	179	14798
12	181	13767
13	183	12889
14	184	12144
15	186	11477
16	188	10888
17	189	10363
18	191	9900
19	194	9506
20	196	9137
21	197	8795
22	199	8474
23	201	8181
24	202	7912
25	205	7680
26	206	7454
27	208	7249
28	210	7049
29	212	6867
30	214	6690
31	215	6524
32	217	6376
33	219	6237
34	221	6099
35	223	5979
36	224	5855
37	226	5740
38	228	5628
39	230	5523
40	231	5420
41	233	5326
42	235	5231
43	236	5138
44	238	5064
45	240	4983
46	242	4907
47	243	4835
48	245	4767
49	247	4705
50	249	4648
51	251	4586
52	253	4527
53	255	4470
54	257	4416
55	258	4362
56	260	4309
57	262	4263
58	264	4212
59	265	4166
60	267	4121
61	269	4084
62	271	4041
63	273	4000
64	275	3962
65	278	3937
66	286	3983
67	291	3993
68	294	3973
69	296	3937
70	298	3901
71	300	3868
72	302	3845
73	304	3810
74	306	3778
75	308	3754
76	310	3727
77	312	3696
78	314	3669
79	317	3646
80	318	3617
81	320	3588
82	322	3559
83	325	3554
84	327	3526
85	329	3500
86	331	3483
87	333	3458
88	335	3434
89	337	3409
90	338	3383
91	340	3361
92	342	3338
93	344	3316
94	346	3296
95	347	3276
96	349	3253
97	351	3233
98	352	3212
99	354	3192
100	356	3172
101	358	3153
102	360	3136
103	362	3119
104	363	3099
105	365	3080
106	367	3063
107	368	3047
108	370	3031
109	372	3016
110	374	3000
111	376	2985
112	378	2969
113	380	2954
114	382	2940
115	383	2925
116	385	2906
117	388	2902
118	390	2888
119	391	2873
120	393	2858
121	394	2841
122	396	2827
123	398	2813
124	400	2800
125	402	2795
126	405	2789
127	408	2782
128	410	2773
129	412	2761
130	414	2750
131	417	2742
132	419	2731
133	420	2720
134	422	2708
135	424	2698
136	426	2687
137	428	2677
138	430	2667
139	433	2661
140	435	2652
141	436	2638
142	438	2628
143	440	2616
144	442	2606
145	443	2595
146	446	2590
147	448	2579
148	449	2569
149	451	2559
150	453	2548
151	455	2539
152	456	2529
153	458	2520
154	460	2510
155	462	2501
156	464	2495
157	467	2488
158	468	2479
159	471	2472
160	472	2460
161	474	2452
162	476	2445
163	477	2435
164	479	2426
165	481	2421
166	484	2415
167	485	2406
168	487	2398
169	489	2390
170	492	2386
171	494	2378
172	496	2371
173	497	2363
174	499	2354
175	501	2346
176	502	2337
177	505	2334
178	507	2327
179	508	2318
180	510	2310
181	512	2302
182	514	2295
183	515	2287
184	518	2282
185	519	2273
186	521	2266
187	523	2259
188	524	2251
189	526	2244
190	527	2236
191	529	2228
192	531	2224
193	533	2217
194	535	2210
195	537	2205
196	539	2200
197	541	2192
198	543	2187
199	545	2180
200	547	2175
201	548	2168
202	550	2161
203	552	2155
204	554	2149
205	555	2142
206	557	2136
207	559	2131
208	561	2124
209	563	2118
210	564	2112
211	566	2106
212	569	2105
213	572	2101
214	573	2095
215	575	2090
216	577	2084
217	579	2077
218	580	2071
219	582	2065
220	584	2060
221	586	2057
222	588	2050
223	590	2045
224	592	2041
225	594	2035
226	596	2031
227	598	2026
228	600	2021
229	603	2019
230	605	2014
231	608	2014
232	610	2010
233	612	2005
234	615	2002
235	617	1997
236	618	1992
237	620	1987
238	622	1982
239	624	1976
240	626	1971
241	628	1967
242	630	1965
243	633	1962
244	635	1958
245	638	1955
246	639	1950
247	642	1946
248	644	1942
249	646	1939
250	648	1934
251	650	1930
252	652	1925
253	653	1920
254	655	1914
255	657	1910
256	659	1905
257	661	1902
258	663	1897
259	665	1892
260	666	1887
261	668	1882
262	669	1876
263	671	1872
264	673	1868
265	675	1863
266	676	1858
267	678	1853
268	680	1848
269	681	1843
270	683	1838
271	685	1833
272	687	1830
273	689	1825
274	690	1821
275	692	1816
276	694	1812
277	695	1807
278	697	1803
279	699	1798
280	701	1795
281	703	1791
282	705	1786
283	706	1781
284	708	1776
285	709	1772
286	711	1767
287	713	1763
288	716	1761
289	717	1757
290	720	1754
291	721	1749
292	723	1745
293	725	1741
294	726	1737
295	728	1732
296	730	1728
297	732	1725
298	734	1723
299	736	1718
300	738	1714
301	739	1710
302	741	1705
303	743	1701
304	744	1697
305	746	1693
306	748	1689
307	750	1685
308	751	1681
309	753	1677
310	755	1673
311	757	1669
312	759	1666
313	761	1662
314	763	1659
315	765	1658
316	768	1654
317	769	1650
318	771	1647
319	773	1643
320	775	1640
321	777	1636
322	778	1632
323	780	1628
324	782	1625
325	784	1621
326	785	1617
327	787	1614
328	789	1610
329	791	1607
330	793	1604
331	796	1601
332	797	1597
333	799	1594
334	801	1591
335	803	1587
336	805	1584
337	807	1581
338	809	1578
339	811	1575
340	813	1571
341	815	1568
342	816	1564
343	818	1560
344	820	1557
345	821	1553
346	823	1550
347	826	1547
348	827	1543
349	829	1539
350	830	1536
351	832	1532
352	834	1529
353	835	1525
354	837	1522
355	839	1519
356	841	1516
357	843	1512
358	845	1509
359	847	1506
360	848	1502
361	850	1499
362	852	1496
363	854	1492
364	856	1489
365	857	1485
366	859	1482
367	861	1478
368	862	1475
369	864	1471
370	866	1468
371	868	1465
372	870	1462
373	871	1458
374	873	1455
375	876	1453
376	877	1450
377	879	1446
378	880	1443
379	882	1439
380	884	1437
381	886	1433
382	887	1430
383	889	1426
384	891	1423
385	892	1420
386	894	1416
387	895	1413
388	898	1411
389	900	1408
390	902	1405
391	903	1402
392	905	1398
393	907	1395
394	908	1391
395	910	1388
396	911	1385
397	913	1382
398	915	1378
399	917	1376
400	919	1374
401	921	1370
402	923	1368
403	925	1365
404	928	1363
405	930	1361
406	931	1357
407	933	1354
408	935	1351
409	936	1348
410	938	1345
411	940	1341
412	942	1338
413	944	1336
414	945	1333
415	947	1330
416	949	1327
417	951	1324
418	953	1321
419	954	1318
420	956	1315
421	959	1313
422	960	1310
423	962	1307
424	964	1304
425	965	1301
426	967	1298
427	969	1296
428	971	1293
429	973	1290
430	975	1288
431	977	1285
432	979	1282
433	980	1279
434	982	1276
435	984	1273
436	985	1270
437	987	1267
438	989	1264
439	991	1261
440	992	1258
441	994	1255
442	996	1252
443	997	1249
444	1000	1247
445	1002	1245
446	1004	1242
447	1006	1239
448	1008	1237
449	1010	1235
450	1012	1232
451	1014	1229
452	1015	1226
453	1017	1223
454	1019	1220
455	1021	1218
456	1023	1216
457	1025	1213
458	1027	1211
459	1029	1208
460	1031	1206
461	1033	1203
462	1034	1199
463	1036	1197
464	1038	1194
465	1039	1191
466	1041	1188
467	1043	1185
468	1044	1182
469	1046	1179
470	1048	1177
471	1050	1174
472	1052	1172
473	1053	1169
474	1055	1166
475	1057	1163
476	1058	1161
477	1060	1158
478	1062	1155
479	1064	1152
480	1065	1150
481	1067	1147
482	1070	1145
483	1071	1142
484	1074	1140
485	1075	1137
486	1077	1134
487	1079	1132
488	1080	1129
489	1082	1126
490	1084	1124
491	1086	1121
492	1087	1118
493	1089	1115
494	1091	1113
495	1092	1110
496	1094	1107
497	1096	1105
498	1098	1102
499	1099	1099
500	1101	1097
501	1103	1094
502	1104	1091
503	1106	1088
504	1107	1086
505	1110	1083
506	1112	1081
507	1113	1078
508	1115	1075
509	1116	1073
510	1118	1070
511	1120	1067
512	1122	1065
513	1124	1062
514	1125	1060
515	1127	1057
516	1129	1055
517	1131	1052
518	1132	1049
519	1134	1047
520	1136	1044
521	1138	1042
522	1141	1041
523	1143	1038
524	1145	1036
525	1146	1033
526	1148	1030
527	1150	1028
528	1152	1026
529	1154	1023
530	1155	1020
531	1157	1018
532	1159	1015
533	1161	1013
534	1163	1011
535	1165	1008
536	1167	1006
537	1169	1003
538	1171	1002
539	1173	999
540	1176	997
541	1178	996
542	1180	993
543	1182	991
544	1184	989
545	1187	987
546	1188	984
547	1191	982
548	1193	980
549	1195	978
550	1197	975
551	1199	973
552	1200	970
553	1202	968
554	1204	965
555	1206	963
556	1208	961
557	1210	958
558	1212	956
559	1213	953
560	1215	951
561	1217	948
562	1218	946
563	1220	943
564	1223	941
565	1225	939
566	1227	937
567	1229	934
568	1230	932
569	1232	930
570	1235	928
571	1237	925
572	1239	923
573	1240	920
574	1242	918
575	1244	915
576	1245	913
577	1247	910
578	1249	908
579	1252	906
580	1254	904
581	1256	902
582	1257	899
583	1259	897
584	1261	894
585	1263	892
586	1265	890
587	1267	887
588	1269	885
589	1271	883
590	1273	881
591	1275	878
592	1276	876
593	1278	874
594	1280	871
595	1282	869
596	1285	867
597	1287	865
598	1288	862
599	1290	860
600	1292	857
601	1294	855
602	1296	853
603	1298	851
604	1299	848
605	1301	846
606	1303	843
607	1305	841
608	1306	839
609	1308	836
610	1310	834
611	1312	832
612	1314	829
613	1315	827
614	1318	825
615	1320	822
616	1321	820
617	1323	818
618	1325	815
619	1326	813
620	1328	810
621	1331	809
622	1333	806
623	1335	804
624	1336	802
625	1338	799
626	1340	797
627	1342	795
628	1345	793
629	1346	791
630	1348	788
631	1350	786
632	1351	783
633	1353	781
634	1355	779
635	1357	776
636	1359	774
637	1360	772
638	1362	769
639	1363	767
640	1365	764
641	1367	762
642	1369	760
643	1370	757
644	1372	755
